signal_date,trade_date,session,direction,direction_zh,total_score,tw_score,intl_score,news_score,entry_price,exit_price,pnl_points,pnl_nts,win,status
2019-09-10,2019-09-11,day,1,做多▲,9,9,0,0,10789,10789,0.7,-43,False,sim_v50
2019-09-11,2019-09-12,day,1,做多▲,9,9,0,0,10831,10827,-4.7,-97,False,sim_v50
2019-09-12,2019-09-16,day,1,做多▲,9,9,0,0,10824,10897,73.4,684,True,sim_v50
2019-09-16,2019-09-17,day,1,做多▲,10,10,0,0,10910,10874,-36.3,-413,False,sim_v50
2019-09-17,2019-09-18,day,1,做多▲,6,6,0,0,10888,10928,40.0,350,True,sim_v50
2019-09-18,2019-09-19,day,1,做多▲,6,6,0,0,10949,10894,-54.9,-599,False,sim_v50
2019-09-19,2019-09-20,day,1,做多▲,6,6,0,0,10909,10929,19.6,146,True,sim_v50
2019-09-20,2019-09-23,day,1,做多▲,6,6,0,0,10926,10918,-7.8,-128,False,sim_v50
2019-09-23,2019-09-24,day,1,做多▲,7,7,0,0,10918,10917,-1.4,-64,False,sim_v50
2019-09-24,2019-09-25,day,1,做多▲,6,6,0,0,10887,10873,-14.0,-190,False,sim_v50
2019-09-25,2019-09-26,day,1,做多▲,5,5,0,0,10911,10871,-39.6,-446,False,sim_v50
2019-09-26,2019-09-27,day,1,做多▲,7,7,0,0,10905,10829,-76.3,-813,False,sim_v50
2019-09-27,2019-10-01,day,0,觀望─,3,3,0,0,,,,,,sim_v50_skip
2019-10-01,2019-10-02,day,0,觀望─,5,5,0,0,,,,,,sim_v50_skip
2019-10-02,2019-10-03,day,0,觀望─,5,5,0,0,,,,,,sim_v50_skip
2019-10-03,2019-10-04,day,0,觀望─,1,1,0,0,,,,,,sim_v50_skip
2019-10-04,2019-10-07,day,1,做多▲,5,5,0,0,10933,10934,0.8,-42,False,sim_v50
2019-10-07,2019-10-08,day,1,做多▲,5,5,0,0,10987,11016,29.3,243,True,sim_v50
2019-10-08,2019-10-09,day,1,做多▲,10,10,0,0,10978,10889,-89.0,-940,False,sim_v50
2019-10-09,2019-10-14,day,1,做多▲,-1,-1,0,0,11006,11066,60.2,552,True,sim_v50
2019-10-14,2019-10-15,day,1,做多▲,9,9,0,0,11104,11111,6.3,13,True,sim_v50
2019-10-15,2019-10-16,day,1,做多▲,9,9,0,0,11167,11162,-5.3,-103,False,sim_v50
2019-10-16,2019-10-17,day,1,做多▲,10,10,0,0,11157,11186,28.7,237,True,sim_v50
2019-10-17,2019-10-18,day,1,做多▲,10,10,0,0,11191,11179,-12.0,-170,False,sim_v50
2019-10-18,2019-10-21,day,1,做多▲,9,9,0,0,11167,11183,15.9,109,True,sim_v50
2019-10-21,2019-10-22,day,1,做多▲,9,9,0,0,11222,11270,48.1,431,True,sim_v50
2019-10-22,2019-10-23,day,1,做多▲,7,7,0,0,11267,11239,-28.5,-335,False,sim_v50
